trend_id,product_group_id,trend_description,trend_start_date,trend_end_date
1,3,"Garden leader purpose discussion. Low result according research above trial.
Water concern because spend apply. Public play it.",2020-10-31,2023-11-24
2,9,Rise usually medical chair change foreign. Room month open data something let institution card.,2022-01-01,2022-11-27
3,9,"Enjoy yard star special exactly represent probably. Series hotel beyond doctor federal none.
Sport another service quality couple. Whole even reach ten produce behind law.",2022-04-02,2024-03-09
4,8,As item ago deep I again draw child. Start relationship number cover three past argue. Next religious away dark hand.,2022-12-01,2023-11-01
5,5,White tell hospital wear indicate always nor. Dinner and design soldier. Nice live rich air certain citizen.,2023-02-07,2024-04-05
6,2,"Account camera media career but fly. Over research save girl citizen.
Reduce from laugh well possible. Meeting first fine challenge participant long. Place skill little charge.",2021-03-06,2024-02-06
7,6,"Huge all way possible church fear information. Strategy chance about.
Sit go week majority animal. Face future center. Enter crime change moment doctor guess.",2020-02-08,2021-11-07
8,8,Her college person federal song politics. Peace leave according everyone amount. Challenge determine leg remain across can. Wall other war rise.,2022-04-24,2022-10-02
9,5,Relationship create international while hot somebody energy term. Dream station serve still scientist. Account detail west hand leg well.,2022-04-11,2023-07-15
10,2,Operation next term black help able. Save program two cost total great increase. Interview way important reflect you example nature property.,2024-01-27,2024-04-14
11,8,"Plant news product. Energy deal garden.
Mrs some my relationship know assume. Want stop appear real here star present.
Note condition last at seek. Security choose trade.",2022-02-13,2024-06-09
12,5,"Option bit almost hospital. Only agent believe down treatment product much.
Life candidate whom institution car. Process smile yeah some. Peace goal according performance partner.",2023-05-21,2023-11-13
13,1,"Style take kid. Us international quite project cup. Organization meeting me.
Have argue degree art onto recently school. Contain own street major bring. Need huge wall institution man drive.",2023-02-03,2024-01-29
14,6,Put like almost church likely wife force including. Manager usually perhaps truth writer. East with interesting letter between include increase.,2022-11-08,2023-10-01
15,8,Hot join like you some mother sing. Sister behavior cover sound. Enough explain event as admit.,2020-10-28,2022-06-12
